"Name","Website","StreetAddress","LatLon"
"Ogawa Coffee","https://www.ogawacoffeeusa.com/","10 Milk Street, Boston, MA 02108","42.3568, -71.0581"
"George Howell Coffee","http://www.georgehowellcoffee.com/the-godfrey-hotel/","505 Washington Street, Boston, MA","42.3547, -71.0614"
"Bakey","https://www.bakeybabka.com/","151 Tremont StreetBoston, MA 02111","42.3545, -71.0635"
"Barismo","https://www.barismo.com/","364 Broadway, Cambridge MA 02139","42.3705, -71.1042"
"Broadsheet","https://broadsheetcoffee.com/","100 Kirkland St., Cambridge, MA 02138","42.3780, -71.1073"
"Curio Coffee","https://noobiwankenoobi.github.io/","441 Cambridge St.  Cambridge, MA 02141","42.3716, -71.0835"
"Elmendorf","https://www.elmendorfbaking.com/","594 Cambridge St, Cambridge, MA 02141","42.3718, -71.0864"
"Area Four","https://www.areafour.com/location/area-four-a4-cafe/","500 Technology Square, Cambridge, MA 02139","42.3630, -71.0925"
"Vester","https://vestercafe.com/locations#cambridge","73 Ames St. Cambridge, MA 02142","42.3632, -71.0882"
"Pavement","https://pavementcoffeehouse.com/pages/locations","286 Newbury Street Boston MA 02115","42.3490, -71.0845"
